"count";"username";"datetime";"text"
"232";"saeed_bararri";"12:57:09 11-01-2021";"شما نو بانک ملی مشتری رو تحویل بگیرید جواب مردم رو بدید این بزک کردنها بدرد ملت نمیخوره"
"233";"azam.zamani90";"12:59:14 11-01-2021";"لوگو زیبا و عالی بود 👍👍👍👍"
"234";"azam.zamani90";"12:59:33 11-01-2021";"@davood.e.a8"
"235";"azam.zamani90";"13:00:07 11-01-2021";"@zamanii11 @zamaniashraf46"
"236";"azam.zamani90";"13:00:15 11-01-2021";"@zarghami.family"
"237";"azam.zamani90";"13:00:21 11-01-2021";"@za.simin"
"238";"azam.zamani90";"13:00:33 11-01-2021";"@zarghami.family"
"239";"azam.zamani90";"13:00:39 11-01-2021";"@fatemeh__azizi.pv"
"240";"azam.zamani90";"13:00:57 11-01-2021";"@esparaein12"
"241";"abdoli.fath";"13:17:50 11-01-2021";"سلام : از نزدیک دیدم فوق العاده ، همانطور که اولین بانک ایرانی ملی بود امروز هم با این پلاس بانک اولین است . فوق العاده ..... فوق العاده ..... دست شما درد نکنه انگار انسان در محیط دیگری غیر از بانک است ."
"242";"aryamanvhdl";"13:39:38 11-01-2021";"زیبا و جذاب 💙💙💙💙شیک"
"243";"parisajalalibanaem";"13:47:19 11-01-2021";"فوق العاده زیبا. بود و حس آرامش و اعتماد به ما دست می داد"
